,Regulon_ID,Regulator,Gene
0,0,ETS1,JAG2
1,0,ETS1,TCIRG1
2,0,ETS1,ZNF414
3,0,ETS1,PCP2
4,0,ETS1,BRICD5
5,0,ETS1,PILRB
6,0,ETS1,NEURL2
7,0,ETS1,BORCS6
8,0,ETS1,THTPA
9,0,ETS1,RNF126
10,0,ETS1,RBCK1
11,0,ETS1,METTL17
12,0,ETS1,UBL7
13,0,ETS1,PLEKHJ1
14,0,ETS1,ZNHIT1
15,0,ETS1,RPL8
16,0,ETS1,PQBP1
17,0,ETS1,PTGES3L-AARSD1
18,0,ETS1,NDUFB7
19,0,ETS1,ALDH16A1
20,0,ETS1,HAGH
21,0,ETS1,HDDC3
22,0,ETS1,MCRS1
23,0,ETS1,JMJD7-PLA2G4B
24,0,ETS1,GNPTG
25,0,ETS1,CENPB
26,0,ETS1,HSPBP1
27,0,ETS1,ABHD8
28,0,ETS1,ARHGAP4
29,0,ETS1,FAU
30,0,ETS1,BAX
31,0,ETS1,ECH1
32,0,ETS1,C11orf68
33,0,ETS1,THAP7
34,0,ETS1,IL18BP
35,0,ETS1,USF1
36,0,ETS1,GPX1
37,0,ETS1,TSPO
38,0,ETS1,POLR2L
39,0,ETS1,SCAND1
40,0,ETS1,PET100
41,0,ETS1,SNRPB
42,0,ETS1,MRPS24
43,0,ETS1,A1BG
44,0,ETS1,ARPC4
45,0,ETS1,UBXN6
46,0,ETS1,FBXL8
47,0,ETS1,MAGIX
48,0,ETS1,IRF3
49,0,ETS1,NOSIP
50,0,ETS1,RHOT2
51,0,ETS1,ELP5
52,0,ETS1,POLR2E
53,0,ETS1,YIPF2
54,0,ETS1,CCDC137
55,0,ETS1,PPIB
56,0,ETS1,ZNF865
57,0,ETS1,FKBP2
58,0,ETS1,MUS81
59,0,ETS1,ZNHIT2
60,0,ETS1,DGCR6L
61,0,ETS1,BCL7C
62,0,ETS1,PHF1
63,0,ETS1,RNF25
64,0,ETS1,NFKBIL1
65,0,ETS1,RABGGTA
66,0,ETS1,PTRH1
67,0,ETS1,HES4
68,0,ETS1,RPP21
69,0,ETS1,SF3A2
70,0,ETS1,AMDHD2
71,0,ETS1,TMEM259
72,0,ETS1,MRPL54
73,0,ETS1,TEX264
74,0,ETS1,ZNF219
75,0,ETS1,WBP1
76,0,ETS1,ESRRA
77,0,ETS1,SGSM2
78,0,ETS1,OXLD1
79,0,ETS1,ZNF593
80,0,ETS1,XRCC3
81,0,ETS1,SLC2A4RG
82,0,ETS1,ZNF408
83,0,ETS1,EIF3G
84,0,ETS1,AAAS
85,0,ETS1,UBXN1
86,0,ETS1,R3HDM4
87,0,ETS1,SHKBP1
88,0,ETS1,LENG1
89,0,ETS1,SIGIRR
90,0,ETS1,FKBPL
91,0,ETS1,PRDX5
92,0,ETS1,BORCS8
93,0,ETS1,ZNF500
94,0,ETS1,DPP7
95,0,ETS1,PLA2G4B
96,0,ETS1,ARL6IP4
97,0,ETS1,MED11
98,0,ETS1,PDAP1
99,0,ETS1,ERF
100,0,ETS1,SSBP4
101,0,ETS1,DENND6B
102,0,ETS1,MED16
103,0,ETS1,IKBKG
104,0,ETS1,NR2F6
105,0,ETS1,INO80B
106,0,ETS1,OCEL1
107,0,ETS1,RPS11
108,0,ETS1,TRADD
109,0,ETS1,DMAP1
110,0,ETS1,EGFL7
111,0,ETS1,ZFYVE27
112,0,ETS1,PEX11G
113,0,ETS1,MTG1
114,0,ETS1,HSF4
115,0,ETS1,DUSP23
116,0,ETS1,ZNF668
117,0,ETS1,IMP3
118,0,ETS1,MPG
119,0,ETS1,RNASET2
120,0,ETS1,AURKAIP1
121,0,ETS1,CFAP157
122,0,ETS1,ZNF821
123,0,ETS1,ZNF628
124,0,ETS1,PRR5
125,0,ETS1,UCKL1
126,0,ETS1,DOHH
127,0,ETS1,C12orf57
128,0,ETS1,TSR3
129,0,ETS1,UBA52
130,0,ETS1,NUDT1
131,0,ETS1,JUND
132,0,ETS1,MYL5
133,0,ETS1,MACROD1
134,0,ETS1,TMEM175
135,0,ETS1,ZNF205
136,0,ETS1,UQCRC1
137,0,ETS1,WDR83
138,0,ETS1,ETFB
139,0,ETS1,MVB12A
140,0,ETS1,FAM110A
141,0,ETS1,DCTN3
142,0,ETS1,ACADVL
143,0,ETS1,OTUD5
144,0,ETS1,RBBP8NL
145,0,ETS1,LTC4S
146,0,ETS1,USE1
147,0,ETS1,DGUOK
148,0,ETS1,STK11IP
149,0,ETS1,MRPL53
150,0,ETS1,CTU1
151,0,ETS1,UXT
152,0,ETS1,CAPN15
153,0,ETS1,EME2
154,0,ETS1,SPHK2
155,0,ETS1,PIGQ
156,0,ETS1,ZNF428
157,0,ETS1,LRPAP1
158,0,ETS1,TRAPPC12
159,0,ETS1,ZNF837
160,0,ETS1,NDUFA13
161,0,ETS1,MAD1L1
162,0,ETS1,PEX16
163,0,ETS1,DRAP1
164,0,ETS1,CUEDC2
165,0,ETS1,NCLN
166,0,ETS1,IRF7
167,0,ETS1,BORCS8-MEF2B
168,0,ETS1,NPFF
169,0,ETS1,LIME1
170,0,ETS1,DNAJC4
171,0,ETS1,ADAMTS13
172,0,ETS1,ARHGAP45
173,0,ETS1,CPTP
174,0,ETS1,ASL
175,0,ETS1,PIH1D1
176,0,ETS1,DPM2
177,0,ETS1,CCDC57
178,0,ETS1,CHCHD5
179,0,ETS1,IFT43
180,0,ETS1,RNF113A
181,0,ETS1,TNK2
182,0,ETS1,NDUFA1
183,0,ETS1,COX14
184,0,ETS1,FAM193B
185,0,ETS1,EML3
186,0,ETS1,CNPY2
187,0,ETS1,COPE
188,0,ETS1,SLC27A3
189,0,ETS1,EEF1D
190,0,ETS1,STK11
191,0,ETS1,OGFOD2
192,0,ETS1,RPL28
193,0,ETS1,SNRPA
194,0,ETS1,FZR1
195,0,ETS1,SPSB3
196,0,ETS1,CCDC9
197,0,ETS1,SH2B1
198,0,ETS1,XAB2
199,0,ETS1,ATG101
200,0,ETS1,TMEM120A
201,0,ETS1,RTEL1
202,0,ETS1,PSMG3
203,0,ETS1,PPP1R35
204,0,ETS1,RNPEPL1
205,0,ETS1,RAB11B
206,0,ETS1,TSSC4
207,0,ETS1,TNFRSF14
208,0,ETS1,TARBP2
209,0,ETS1,DNAJC17
210,0,ETS1,PNKP
211,0,ETS1,CCDC85B
212,0,ETS1,ABHD16B
213,0,ETS1,FDX2
214,0,ETS1,TOP1MT
215,0,ETS1,BLOC1S1
216,0,ETS1,EMC6
217,0,ETS1,CYTH2
218,0,ETS1,SLC25A28
219,0,ETS1,COX5B
220,0,ETS1,RPL18
221,0,ETS1,RGS12
222,0,ETS1,PHKG1
223,0,ETS1,MRPL23
224,0,ETS1,RHOD
225,0,ETS1,TADA3
226,0,ETS1,DVL1
227,0,ETS1,BGLAP
228,0,ETS1,B3GAT3
229,0,ETS1,RGL2
230,0,ETS1,RING1
231,0,ETS1,ZBTB45
232,0,ETS1,CHMP6
233,0,ETS1,WDR83OS
234,0,ETS1,CNTROB
235,0,ETS1,PACSIN3
236,0,ETS1,ADAT3
237,0,ETS1,UBE2J2
238,0,ETS1,TPGS1
239,0,ETS1,PKN1
240,0,ETS1,FBXL15
241,0,ETS1,CCDC12
242,0,ETS1,MFSD12
243,0,ETS1,TMUB1
244,0,ETS1,CHRNE
245,0,ETS1,MZF1
246,0,ETS1,FDXR
247,0,ETS1,TMEM129
248,0,ETS1,NR1H2
249,0,ETS1,TFPT
250,0,ETS1,MYL6
251,0,ETS1,NDUFB8
252,0,ETS1,NEIL1
253,0,ETS1,RFXANK
254,0,ETS1,NTMT1
255,0,ETS1,ZNF653
256,0,ETS1,DDX49
257,0,ETS1,ZNF444
258,0,ETS1,NSUN5
259,0,ETS1,TMEM238
260,0,ETS1,SH3TC1
261,0,ETS1,FLYWCH2
262,0,ETS1,TNFRSF4
263,0,ETS1,MED25
264,0,ETS1,TXNRD2
265,0,ETS1,PGP
266,0,ETS1,DEDD2
267,0,ETS1,DPM3
268,0,ETS1,ZFYVE19
269,0,ETS1,MIB2
270,0,ETS1,TMEM161A
271,0,ETS1,HOOK2
272,0,ETS1,SCRN2
273,0,ETS1,PMVK
274,0,ETS1,TBC1D17
275,0,ETS1,UBALD1
276,0,ETS1,OAZ1
277,0,ETS1,YBEY
278,1,ETS1,LAG3
279,1,ETS1,CD68
280,1,ETS1,FPR3
281,1,ETS1,FGL2
282,1,ETS1,IL18R1
283,1,ETS1,ANKRD44
284,1,ETS1,IL18RAP
285,1,ETS1,JAML
286,1,ETS1,FCRL3
287,1,ETS1,RGS18
288,1,ETS1,CCR7
289,1,ETS1,GBP5
290,1,ETS1,LRRC25
291,1,ETS1,COL4A4
292,1,ETS1,WIPF1
293,1,ETS1,DOK2
294,1,ETS1,TRAF1
295,1,ETS1,PARP15
296,1,ETS1,GPA33
297,1,ETS1,CASP5
298,1,ETS1,RASSF4
299,1,ETS1,RIN3
300,1,ETS1,ARHGAP30
301,1,ETS1,SPI1
302,1,ETS1,PAG1
303,1,ETS1,CD27
304,1,ETS1,KIF21B
305,1,ETS1,TCF7
306,1,ETS1,SRGN
307,1,ETS1,SH3KBP1
308,1,ETS1,DGKA
309,1,ETS1,HEMGN
310,1,ETS1,HCST
311,1,ETS1,PIK3AP1
312,1,ETS1,DBH
313,1,ETS1,SOWAHD
314,1,ETS1,CD48
315,1,ETS1,GPR65
316,1,ETS1,TNFAIP3
317,1,ETS1,FXYD2
318,1,ETS1,KLRC1
319,1,ETS1,TOR4A
320,1,ETS1,BTN3A2
321,1,ETS1,SELPLG
322,1,ETS1,ICOS
323,1,ETS1,SPNS3
324,1,ETS1,HVCN1
325,1,ETS1,UPP1
326,1,ETS1,LAPTM5
327,1,ETS1,SP140
328,1,ETS1,TMEM140
329,1,ETS1,HLA-DRB5
330,1,ETS1,CD79B
331,1,ETS1,GNLY
332,1,ETS1,LYN
333,1,ETS1,MYO1F
334,1,ETS1,PLEKHO1
335,1,ETS1,ABCD2
336,1,ETS1,KBTBD8
337,1,ETS1,TNFRSF8
338,1,ETS1,CXCR3
339,1,ETS1,ELMO1
340,1,ETS1,RASGRP2
341,1,ETS1,ITGAX
342,1,ETS1,NLRC5
343,1,ETS1,RHOG
344,1,ETS1,LPAR5
345,1,ETS1,STAT4
346,1,ETS1,LCP2
347,1,ETS1,TGM2
348,1,ETS1,FCAMR
349,1,ETS1,LCP1
350,1,ETS1,TNFRSF13B
351,1,ETS1,MYO1G
352,1,ETS1,TNFSF14
353,1,ETS1,CD53
354,1,ETS1,NKG7
355,1,ETS1,TMEM52B
356,1,ETS1,P2RX1
357,1,ETS1,LY86
358,1,ETS1,GNGT2
359,1,ETS1,POU2F2
360,1,ETS1,SLAMF1
361,1,ETS1,IL7R
362,1,ETS1,STK17B
363,1,ETS1,PIK3R5
364,1,ETS1,APBB1IP
365,1,ETS1,CCL22
366,1,ETS1,TLR9
367,1,ETS1,KLRD1
368,1,ETS1,TRIM22
369,1,ETS1,CTSS
370,1,ETS1,FYN
371,1,ETS1,RCSD1
372,1,ETS1,ADGRE5
373,1,ETS1,SIGLEC5
374,1,ETS1,KCNAB2
375,1,ETS1,EHD1
376,1,ETS1,PVRIG
377,1,ETS1,HPSE
378,1,ETS1,LCK
379,1,ETS1,ZNF683
380,1,ETS1,TRAT1
381,1,ETS1,CCDC69
382,1,ETS1,PSTPIP1
383,1,ETS1,IL4I1
384,1,ETS1,STX11
385,1,ETS1,LAX1
386,1,ETS1,SIGLEC7
387,1,ETS1,MFNG
388,1,ETS1,CD37
389,1,ETS1,CLEC4C
390,1,ETS1,IFNG
391,1,ETS1,GZMA
392,1,ETS1,CD19
393,1,ETS1,NFAM1
394,1,ETS1,TMC8
395,1,ETS1,BIN2
396,1,ETS1,CD79A
397,1,ETS1,CLNK
398,1,ETS1,APOBEC3C
399,1,ETS1,CYB561A3
400,1,ETS1,NCR1
401,1,ETS1,ST8SIA4
402,1,ETS1,CXCL9
403,1,ETS1,CCL5
404,1,ETS1,KLRK1
405,1,ETS1,CMKLR1
406,1,ETS1,TBC1D10C
407,1,ETS1,HCLS1
408,1,ETS1,ITGB2
409,1,ETS1,VAV1
410,1,ETS1,RASSF2
411,1,ETS1,CNR2
412,1,ETS1,LPXN
413,1,ETS1,ABI3
414,1,ETS1,LTA
415,1,ETS1,PAX5
416,1,ETS1,PILRA
417,1,ETS1,HLA-DPA1
418,1,ETS1,SLC7A7
419,1,ETS1,CYBB
420,1,ETS1,TREML2
421,1,ETS1,CYTH4
422,1,ETS1,MS4A1
423,1,ETS1,PLAC8
424,1,ETS1,MGAT1
425,1,ETS1,FCRL2
426,1,ETS1,DPPA4
427,1,ETS1,ASB2
428,1,ETS1,SPN
429,1,ETS1,TNFSF13B
430,1,ETS1,CD28
431,1,ETS1,SIGLEC9
432,1,ETS1,ARHGAP45
433,1,ETS1,IGSF6
434,1,ETS1,CD1D
435,1,ETS1,CXorf65
436,1,ETS1,MPEG1
437,1,ETS1,STK10
438,1,ETS1,CD33
439,1,ETS1,IL2RG
440,1,ETS1,LIMD2
441,1,ETS1,CD40LG
442,1,ETS1,PLEKHO2
443,1,ETS1,EBI3
444,1,ETS1,BCL11B
445,1,ETS1,TSPAN32
446,1,ETS1,TXK
447,1,ETS1,C1orf162
448,1,ETS1,PPP1R16B
449,1,ETS1,NFKBIE
450,1,ETS1,TYROBP
451,1,ETS1,ICAM4
452,1,ETS1,STAG3
453,1,ETS1,GBP4
454,1,ETS1,TNFAIP8L2
455,1,ETS1,FERMT3
456,1,ETS1,PTPN22
457,1,ETS1,DOCK2
458,1,ETS1,PRDM8
459,1,ETS1,PALD1
460,1,ETS1,BLK
461,1,ETS1,S1PR4
462,1,ETS1,AKNA
463,1,ETS1,SIT1
464,1,ETS1,CTSW
465,1,ETS1,TRPV2
466,1,ETS1,NCR3
467,1,ETS1,CASP4
468,1,ETS1,PIK3CG
469,1,ETS1,SPIB
470,1,ETS1,PPP3CC
471,1,ETS1,RASAL3
472,1,ETS1,CD274
473,1,ETS1,CASS4
474,1,ETS1,HAVCR2
475,1,ETS1,IL2RB
476,1,ETS1,INPP5D
477,1,ETS1,CFP
478,1,ETS1,TAGAP
479,1,ETS1,ASGR2
480,1,ETS1,ACSL5
481,1,ETS1,PLCB2
482,1,ETS1,RAC2
483,1,ETS1,CD300C
484,1,ETS1,RNF166
485,1,ETS1,CD1C
486,1,ETS1,VNN2
487,1,ETS1,ZNF438
488,1,ETS1,C16orf54
489,1,ETS1,RNASE6
490,1,ETS1,IRF1
491,1,ETS1,C11orf21
492,1,ETS1,SH2D2A
493,1,ETS1,FAM78A
494,1,ETS1,ADCY7
495,1,ETS1,STAMBPL1
496,1,ETS1,ARHGAP9
497,1,ETS1,ACAP1
498,1,ETS1,SNX20
499,1,ETS1,GIMAP5
500,1,ETS1,LAIR1
501,1,ETS1,NCKAP1L
502,1,ETS1,FGR
503,1,ETS1,JAK3
504,1,ETS1,CPVL
505,1,ETS1,GFI1
506,1,ETS1,ARHGAP25
507,1,ETS1,LY96
508,1,ETS1,CORO1A
509,1,ETS1,ARRB2
510,1,ETS1,SYK
511,1,ETS1,KLHL6
512,1,ETS1,GIMAP6
513,1,ETS1,MAN2B1
514,1,ETS1,CD38
515,1,ETS1,ITGAL
516,1,ETS1,FMNL1
517,1,ETS1,MS4A6A
518,1,ETS1,NCF4
519,1,ETS1,IL21R
520,1,ETS1,UBD
521,1,ETS1,NFATC2
522,1,ETS1,ALOX5
523,1,ETS1,CIITA
524,1,ETS1,GIMAP4
525,1,ETS1,ADGRG5
526,2,ETS1,FMNL3
527,2,ETS1,PPFIBP1
528,2,ETS1,RFTN2
529,2,ETS1,LPAR1
530,2,ETS1,SVEP1
531,2,ETS1,GRID1
532,2,ETS1,RASSF2
533,2,ETS1,OLFML2B
534,2,ETS1,MEIS2
535,2,ETS1,PKD2
536,2,ETS1,WIPF1
537,2,ETS1,RHOJ
538,2,ETS1,LUZP1
539,2,ETS1,COL3A1
540,2,ETS1,LRCH2
541,2,ETS1,COL6A1
542,2,ETS1,FLRT2
543,2,ETS1,LAMA4
544,2,ETS1,ADAM12
545,2,ETS1,LRCH1
546,2,ETS1,CEMIP
547,2,ETS1,COL5A1
548,2,ETS1,ABCA6
549,2,ETS1,LRP1
550,2,ETS1,ADCYAP1R1
551,2,ETS1,CLMP
552,2,ETS1,GPR34
553,2,ETS1,NID1
554,2,ETS1,ZEB1
555,2,ETS1,MAMDC2
556,2,ETS1,SH3PXD2A
557,2,ETS1,PLSCR4
558,2,ETS1,MMP14
559,2,ETS1,KANK2
560,2,ETS1,PLAU
561,2,ETS1,LAMA2
562,2,ETS1,DISC1
563,2,ETS1,CACNA1G
564,2,ETS1,TM6SF2
565,2,ETS1,ACTA2
566,2,ETS1,PEAK1
567,2,ETS1,NID2
568,2,ETS1,C1QTNF6
569,2,ETS1,ABCC9
570,2,ETS1,SLC9A9
571,2,ETS1,KLF12
572,2,ETS1,FSTL1
573,2,ETS1,ATP10A
574,2,ETS1,COL1A2
575,2,ETS1,UACA
576,2,ETS1,LRRC17
577,2,ETS1,HGF
578,2,ETS1,EDIL3
579,2,ETS1,RIN2
580,2,ETS1,CMTM3
581,2,ETS1,CORO2B
582,2,ETS1,SPRY2
583,2,ETS1,DPYD
584,2,ETS1,VGLL3
585,2,ETS1,LAMB1
586,2,ETS1,PRDM1
587,2,ETS1,SLC12A4
588,2,ETS1,CAV1
589,2,ETS1,AEBP1
590,2,ETS1,ELK3
591,2,ETS1,NRXN2
592,2,ETS1,COL8A1
593,2,ETS1,ZMAT3
594,2,ETS1,RBMS3
595,2,ETS1,DAB2
596,2,ETS1,TNFSF4
597,2,ETS1,SCN4B
598,2,ETS1,PCDH18
599,2,ETS1,PTPRG
600,2,ETS1,FOXN3
601,2,ETS1,ARSI
602,2,ETS1,JAZF1
603,2,ETS1,PHYHIPL
604,2,ETS1,CORIN
605,2,ETS1,SYT11
606,2,ETS1,FLNC
607,2,ETS1,C10orf55
608,2,ETS1,OMD
609,2,ETS1,ZEB2
610,2,ETS1,TCF4
611,2,ETS1,PIK3CG
612,2,ETS1,SRPX
613,2,ETS1,SPON1
614,2,ETS1,DACT1
615,2,ETS1,CEP295NL
616,2,ETS1,AKAP13
617,2,ETS1,MFAP5
618,2,ETS1,ZNF365
619,2,ETS1,NETO1
620,2,ETS1,LOX
621,2,ETS1,VCAN
622,2,ETS1,MAB21L1
623,2,ETS1,COL1A1
624,2,ETS1,PHLDB1
625,2,ETS1,SLC8A1
626,2,ETS1,PRDM5
627,2,ETS1,DKK3
628,2,ETS1,SPOCD1
629,2,ETS1,ZFHX4
630,2,ETS1,UNC5B
631,2,ETS1,DCN
632,2,ETS1,SH2B3
633,2,ETS1,ETV1
634,2,ETS1,ITGA11
635,2,ETS1,CTSK
636,2,ETS1,BNC2
637,2,ETS1,PREX2
638,2,ETS1,FAT4
639,2,ETS1,EBF3
640,2,ETS1,CSMD2
641,2,ETS1,THY1
642,2,ETS1,RASGRF2
643,2,ETS1,SPARCL1
644,2,ETS1,HIVEP2
645,2,ETS1,GXYLT2
646,2,ETS1,BICC1
647,2,ETS1,TLR4
648,2,ETS1,FGF1
649,2,ETS1,MICAL2
650,2,ETS1,DGKI
651,2,ETS1,MITF
652,2,ETS1,SPARC
653,2,ETS1,SFRP4
654,2,ETS1,FN1
655,2,ETS1,ACVR1
656,2,ETS1,ARHGAP31
657,2,ETS1,CFH
658,2,ETS1,CDH11
659,2,ETS1,LHFPL2
660,2,ETS1,PCDH7
661,2,ETS1,LOXL2
662,2,ETS1,PLXDC2
663,2,ETS1,SLC38A5
664,2,ETS1,SLIT3
665,2,ETS1,SUGCT
666,2,ETS1,NRP2
667,3,ETS1,NMT2
668,3,ETS1,NUF2
669,3,ETS1,SERBP1
670,3,ETS1,UTP4
671,3,ETS1,OSBPL3
672,3,ETS1,GCNT2
673,3,ETS1,FAM171A1
674,3,ETS1,NFIL3
675,3,ETS1,PDSS1
676,3,ETS1,PM20D2
677,3,ETS1,KCNQ4
678,3,ETS1,WDR43
679,3,ETS1,NIP7
680,3,ETS1,FANCE
681,3,ETS1,ARHGEF4
682,3,ETS1,KRT81
683,3,ETS1,DUSP7
684,3,ETS1,TPX2
685,3,ETS1,FSCN1
686,3,ETS1,SEPHS1
687,3,ETS1,CCDC77
688,3,ETS1,RIPK2
689,3,ETS1,TMEM171
690,3,ETS1,NUDT5
691,3,ETS1,LMO4
692,3,ETS1,PLA2G4A
693,3,ETS1,MTHFD1L
694,3,ETS1,ATL2
695,3,ETS1,KIFC1
696,3,ETS1,MAP2
697,3,ETS1,FABP5
698,3,ETS1,CKS1B
699,3,ETS1,CAGE1
700,3,ETS1,MFGE8
701,3,ETS1,XPO5
702,3,ETS1,CDC123
703,3,ETS1,E2F3
704,3,ETS1,TMEM38A
705,3,ETS1,CCNE1
706,3,ETS1,RAD51AP1
707,3,ETS1,MSANTD3
708,3,ETS1,PGM1
709,3,ETS1,NCAPD2
710,3,ETS1,SERPINB5
711,3,ETS1,ART3
712,3,ETS1,CXCL1
713,3,ETS1,TIGD2
714,3,ETS1,NCOA7
715,3,ETS1,CSRP2
716,3,ETS1,EN1
717,3,ETS1,C9orf40
718,3,ETS1,PRIM2
719,3,ETS1,KATNA1
720,3,ETS1,MRAS
721,3,ETS1,IFRD1
722,3,ETS1,SLC43A3
723,3,ETS1,ZNF462
724,3,ETS1,DBF4
725,3,ETS1,GLS
726,3,ETS1,MCM10
727,3,ETS1,PLOD1
728,3,ETS1,BCL11A
729,3,ETS1,RARRES1
730,3,ETS1,CCDC71L
731,3,ETS1,RYR1
732,3,ETS1,HRK
733,3,ETS1,PGBD5
734,3,ETS1,SYNCRIP
735,3,ETS1,PLOD3
736,3,ETS1,GABBR2
737,3,ETS1,TUBB6
738,3,ETS1,ORC1
739,3,ETS1,PAPSS1
740,3,ETS1,PAK1IP1
741,3,ETS1,RIOK1
742,3,ETS1,PROM1
743,3,ETS1,CEP55
744,3,ETS1,ANKS6
745,3,ETS1,RSU1
746,3,ETS1,SLC6A2
747,3,ETS1,RAD54L
748,3,ETS1,RFC4
749,3,ETS1,AURKB
750,3,ETS1,SLC6A11
751,3,ETS1,POLR1E
752,3,ETS1,TEX10
753,3,ETS1,IGF2BP2
754,3,ETS1,RNASEH1
755,3,ETS1,RBM17
756,3,ETS1,BPI
757,3,ETS1,MIA
758,3,ETS1,COLGALT1
759,3,ETS1,HMGA1
760,3,ETS1,TTC7A
761,3,ETS1,MKRN3
762,3,ETS1,ATP1B3
763,3,ETS1,FOXC1
764,3,ETS1,SF3A3
765,3,ETS1,ST3GAL6
766,3,ETS1,B3GNT5
767,3,ETS1,JOSD1
768,3,ETS1,TTLL4
769,3,ETS1,TRIM2
770,3,ETS1,ETV6
771,3,ETS1,PHGDH
772,4,ETS1,SVEP1
773,4,ETS1,PYGM
774,4,ETS1,CDH5
775,4,ETS1,CH25H
776,4,ETS1,SRPX
777,4,ETS1,PDE1A
778,4,ETS1,SCN3B
779,4,ETS1,CTSG
780,4,ETS1,HSPB6
781,4,ETS1,CSRNP1
782,4,ETS1,STAB1
783,4,ETS1,RHOJ
784,4,ETS1,FHL1
785,4,ETS1,INMT
786,4,ETS1,TIMP4
787,4,ETS1,MAB21L1
788,4,ETS1,ZNF366
789,4,ETS1,MAP1LC3C
790,4,ETS1,S1PR1
791,4,ETS1,CD93
792,4,ETS1,EGR1
793,4,ETS1,AQP1
794,4,ETS1,FAM124B
795,4,ETS1,ROBO4
796,4,ETS1,IL33
797,4,ETS1,ABCA6
798,4,ETS1,ADCYAP1R1
799,4,ETS1,FAM110D
800,4,ETS1,LYVE1
801,4,ETS1,MMRN2
802,4,ETS1,PECAM1
803,4,ETS1,LAMA2
804,4,ETS1,CD34
805,4,ETS1,MMP28
806,4,ETS1,ANK2
807,4,ETS1,RASIP1
808,4,ETS1,TEK
809,4,ETS1,GNG11
810,4,ETS1,LRRN4CL
811,4,ETS1,PREX2
812,4,ETS1,ZFP36
813,4,ETS1,EBF3
814,4,ETS1,FLT4
815,4,ETS1,GNG2
816,4,ETS1,CYTL1
817,4,ETS1,SPARCL1
818,4,ETS1,USHBP1
819,4,ETS1,TXNIP
820,4,ETS1,ALDH1A1
821,4,ETS1,ITGA7
822,4,ETS1,CLEC14A
823,4,ETS1,IGF1
824,4,ETS1,CORO2B
825,4,ETS1,FAM107A
826,4,ETS1,FGF7
827,4,ETS1,PEAR1
828,4,ETS1,EMCN
829,4,ETS1,C10orf105
830,4,ETS1,CAV1
831,4,ETS1,ELK3
832,4,ETS1,SRL
833,4,ETS1,SCN4B
834,4,ETS1,ACVRL1
835,4,ETS1,GLI1
836,4,ETS1,SOX17
837,4,ETS1,BTNL9
838,5,ETS1,KRT23
839,5,ETS1,IFRD1
840,5,ETS1,NCMAP
841,5,ETS1,PTPN14
842,5,ETS1,CYP39A1
843,5,ETS1,SERBP1
844,5,ETS1,BCL11A
845,5,ETS1,ID4
846,5,ETS1,FAM171A1
847,5,ETS1,SYNM
848,5,ETS1,PM20D2
849,5,ETS1,KCNQ4
850,5,ETS1,ITM2C
851,5,ETS1,MAPK4
852,5,ETS1,YES1
853,5,ETS1,MTMR8
854,5,ETS1,KRT17
855,5,ETS1,S100B
856,5,ETS1,TMPRSS5
857,5,ETS1,PABPC4L
858,5,ETS1,LMO4
859,5,ETS1,PAPSS1
860,5,ETS1,SLC25A37
861,5,ETS1,GPR12
862,5,ETS1,TRDMT1
863,5,ETS1,PROM1
864,5,ETS1,ATL2
865,5,ETS1,PDE9A
866,5,ETS1,NDUFAF7
867,5,ETS1,POLR3G
868,5,ETS1,UBE2E3
869,5,ETS1,CA6
870,5,ETS1,TMEM71
871,5,ETS1,DYNC1I1
872,5,ETS1,MAP2
873,5,ETS1,POLR1E
874,5,ETS1,MTMR2
875,5,ETS1,ETV5
876,5,ETS1,BPI
877,5,ETS1,MIA
878,5,ETS1,PPARA
879,5,ETS1,FOXC1
880,5,ETS1,FOXL1
881,5,ETS1,SERPINB5
882,5,ETS1,ART3
883,5,ETS1,ADD2
884,5,ETS1,TIGD2
885,5,ETS1,ST3GAL6
886,5,ETS1,DSC3
887,5,ETS1,EN1
888,5,ETS1,C9orf40
889,5,ETS1,MYLK4
890,5,ETS1,CYB5R2
891,5,ETS1,APBA1
892,5,ETS1,TRIM2
893,5,ETS1,ETV6
894,6,ETS1,MEIS3
895,6,ETS1,MRPL54
896,6,ETS1,ZNF768
897,6,ETS1,BLOC1S1
898,6,ETS1,RNF40
899,6,ETS1,TMEM265
900,6,ETS1,PMM2
901,6,ETS1,PIGQ
902,6,ETS1,NUBP1
903,6,ETS1,HAGH
904,6,ETS1,NSMCE1
905,6,ETS1,DEXI
906,6,ETS1,ZNF213
907,6,ETS1,MTX1
908,6,ETS1,GNPTG
909,6,ETS1,NABP2
910,6,ETS1,FUS
911,6,ETS1,GAK
912,6,ETS1,HAGHL
913,6,ETS1,SMUG1
914,6,ETS1,HYPK
915,6,ETS1,PARN
916,6,ETS1,BFAR
917,6,ETS1,FAM234A
918,6,ETS1,NDUFB10
919,6,ETS1,POLR2L
920,6,ETS1,TMEM186
921,6,ETS1,PET100
922,6,ETS1,ATP6V0C
923,6,ETS1,PPP4C
924,6,ETS1,POLD4
925,6,ETS1,UBE2I
926,6,ETS1,FAHD1
927,6,ETS1,PYM1
928,6,ETS1,CDC42EP2
929,6,ETS1,PFDN5
930,6,ETS1,NTHL1
931,6,ETS1,MAZ
932,6,ETS1,FKBP2
933,6,ETS1,SLIRP
934,6,ETS1,MRPS34
935,6,ETS1,FLYWCH2
936,6,ETS1,PGP
937,6,ETS1,FTH1
938,6,ETS1,TMEM141
939,6,ETS1,ZFYVE19
940,6,ETS1,MGRN1
